분류,품목명,규격,정식명칭,단위,매입단가,판매단가,기초재고,최소재고,단가메모,사용
코팅제,글라스,500ml,NP Glass & Ceramic,EA,63000,130000,20,3,단가표 2026.05.01~08.31 기준,Y
코팅제,플라스틱,500ml,NP Plastic,EA,72000,0,10,2,단가표 2026.05.01~08.31 기준,Y
코팅제,메탈,500ml,NP Metal,EA,72000,0,3,2,단가표 2026.05.01~08.31 기준,Y
코팅제,프리클린,1L,NP Preclean,EA,33750,0,4,2,단가표에는 500ml 로 표기 — 규격 확인 필요,Y
코팅제,글라코,,,EA,0,0,11,2,단가 미확인,Y
코팅제,유막제거제,200ml,유막제거제 200ml,EA,5600,13000,0,5,단가표 2026.05.01~08.31 기준,Y
코팅제,1K-A,500ml,NP 1K-A,EA,126000,0,0,1,단가표 2026.05.01~08.31 기준,Y
코팅제,1K-B,500ml,NP 1K-B,EA,126000,0,0,1,단가표 2026.05.01~08.31 기준,Y
UV코팅제,신가상사 무광,,,EA,0,0,22,3,단가 미확인,Y
UV코팅제,신가상사 유광,,,EA,0,0,3,2,단가 미확인,Y
UV코팅제,에코텍 유광,,,EA,0,0,8,2,단가 미확인,Y
절수기,자바,,,EA,0,0,2,1,단가 미확인,Y
절수기,하즈 패달,,,EA,0,0,6,2,단가 미확인,Y
절수기,하즈 센서,,,EA,0,0,4,2,단가 미확인,Y
휴젠트,팔레트,,,EA,0,0,2,1,단가 미확인,Y
휴젠트,노바,,,EA,0,0,3,1,단가 미확인,Y
타월,타월,,,EA,0,0,400,50,단가 미확인,Y
코팅제,Engineered 2015,500ml,NP Engineered 2015,EA,81000,0,0,0,단가표 2026.05.01~08.31 기준,N
나노랩,글라스,500ml,,EA,31500,0,0,0,단가표 2026.05.01~08.31 기준,N
나노랩,메탈,500ml,,EA,36900,0,0,0,단가표 2026.05.01~08.31 기준,N
나노랩,플라스틱,500ml,,EA,36900,0,0,0,단가표 2026.05.01~08.31 기준,N
나노랩,프리미엄 글라스,500ml,,EA,49500,0,0,0,단가표 2026.05.01~08.31 기준,N
나노랩,프리미엄 메탈,500ml,,EA,54000,0,0,0,단가표 2026.05.01~08.31 기준,N
나노랩,프리미엄 플라스틱,500ml,,EA,54000,0,0,0,단가표 2026.05.01~08.31 기준,N
Bacterlon,4801,500ml,Bacterlon 4801,EA,40500,0,0,0,단가표 2026.05.01~08.31 기준,N
Bacterlon,3802,500ml,Bacterlon 3802,EA,0,0,0,0,단가표에 단가 미기재,N
Bacterlon,Textile,500ml,Bacterlon Textile,EA,0,0,0,0,단가표에 단가 미기재,N
Bacterlon,Stone,500ml,Bacterlon Stone,EA,0,0,0,0,단가표에 단가 미기재,N
RP(B2C),글라스,100ml,,EA,0,8140,0,0,단가표 2026.05.01~08.31 기준,N
RP(B2C),메탈,100ml,,EA,0,8800,0,0,단가표 2026.05.01~08.31 기준,N
RP(B2C),플라스틱,100ml,,EA,0,8140,0,0,단가표 2026.05.01~08.31 기준,N
RP(B2C),스톤,50ml,,EA,0,10340,0,0,단가표 2026.05.01~08.31 기준,N
RP(B2C),탑클린,250ml,,EA,0,6160,0,0,단가표 2026.05.01~08.31 기준,N
RP(B2C),텍스타일 앤 패브릭,300ml,,EA,0,11550,0,0,단가표 2026.05.01~08.31 기준,N
RP(B2C),아웃도어 앤 슈즈,250ml,,EA,0,9240,0,0,단가표 2026.05.01~08.31 기준,N
RP(B2C),카글라스,100ml,,EA,0,8250,0,0,단가표 2026.05.01~08.31 기준,N
RP(B2C),유막제거제,40g,,EA,0,1540,0,0,단가표 2026.05.01~08.31 기준,N
RP(B2C),홈실속 세트,set,,SET,0,37730,0,0,단가표 2026.05.01~08.31 기준,N
RP(B2C),글라스 세트,set,,SET,0,11880,0,0,단가표 2026.05.01~08.31 기준,N
RP(B2C),메탈 세트,set,,SET,0,12980,0,0,단가표 2026.05.01~08.31 기준,N
RP(B2C),플라스틱 세트,set,,SET,0,11880,0,0,단가표 2026.05.01~08.31 기준,N
RP(B2C),스톤 세트,set,,SET,0,14080,0,0,단가표 2026.05.01~08.31 기준,N
RP(B2C),카글라스 세트,set,,SET,0,10010,0,0,단가표 2026.05.01~08.31 기준,N
RP(B2C),유막제거제 세트,set,,SET,0,7590,0,0,단가표 2026.05.01~08.31 기준,N
